Fra_dato,Mængde,Måleenhed,Kvalitet,Type
16/01/2023 11.00,00.32,KWH,Målt,Tidsserie
16/01/2023 12.00,00.41,KWH,Målt,Tidsserie
16/01/2023 13.00,00.39,KWH,Målt,Tidsserie
16/01/2023 14.00,00.48,KWH,Målt,Tidsserie
16/01/2023 15.00,0.0673611111111111,KWH,Målt,Tidsserie
16/01/2023 16.00,01.04,KWH,Målt,Tidsserie
16/01/2023 17.00,02.16,KWH,Målt,Tidsserie
16/01/2023 18.00,01.09,KWH,Målt,Tidsserie
16/01/2023 19.00,0.0666666666666667,KWH,Målt,Tidsserie
16/01/2023 20.00,0.0611111111111111,KWH,Målt,Tidsserie
16/01/2023 21.00,0.0652777777777778,KWH,Målt,Tidsserie
16/01/2023 22.00,00.47,KWH,Målt,Tidsserie
16/01/2023 23.00,00.46,KWH,Målt,Tidsserie
17/01/2023 00.00,00.35,KWH,Målt,Tidsserie
17/01/2023 01.00,00.37,KWH,Målt,Tidsserie
17/01/2023 02.00,00.36,KWH,Målt,Tidsserie
17/01/2023 03.00,00.36,KWH,Målt,Tidsserie
17/01/2023 04.00,00.39,KWH,Målt,Tidsserie
17/01/2023 05.00,00.36,KWH,Målt,Tidsserie
17/01/2023 06.00,0.0673611111111111,KWH,Målt,Tidsserie
17/01/2023 07.00,0.0430555555555556,KWH,Målt,Tidsserie
17/01/2023 08.00,0.0423611111111111,KWH,Målt,Tidsserie
17/01/2023 09.00,01.49,KWH,Målt,Tidsserie
17/01/2023 10.00,02.29,KWH,Målt,Tidsserie
17/01/2023 11.00,01.53,KWH,Målt,Tidsserie
17/01/2023 12.00,0.0520833333333333,KWH,Målt,Tidsserie
17/01/2023 13.00,0.0534722222222222,KWH,Målt,Tidsserie
17/01/2023 14.00,02.42,KWH,Målt,Tidsserie
17/01/2023 15.00,01.35,KWH,Målt,Tidsserie
17/01/2023 16.00,00.01,KWH,Målt,Tidsserie
17/01/2023 17.00,02.55,KWH,Målt,Tidsserie
17/01/2023 18.00,01.41,KWH,Målt,Tidsserie
17/01/2023 19.00,02.34,KWH,Målt,Tidsserie
17/01/2023 20.00,01.32,KWH,Målt,Tidsserie
17/01/2023 21.00,01.16,KWH,Målt,Tidsserie
17/01/2023 22.00,0.0590277777777778,KWH,Målt,Tidsserie
17/01/2023 23.00,00.07,KWH,Målt,Tidsserie
18/01/2023 00.00,0.0423611111111111,KWH,Målt,Tidsserie
18/01/2023 01.00,00.51,KWH,Målt,Tidsserie
18/01/2023 02.00,00.55,KWH,Målt,Tidsserie
18/01/2023 03.00,00.59,KWH,Målt,Tidsserie
18/01/2023 04.00,0.0458333333333333,KWH,Målt,Tidsserie
18/01/2023 05.00,00.52,KWH,Målt,Tidsserie
18/01/2023 06.00,01.02,KWH,Målt,Tidsserie
18/01/2023 07.00,0.0645833333333333,KWH,Målt,Tidsserie
18/01/2023 08.00,01.36,KWH,Målt,Tidsserie
18/01/2023 09.00,0.0881944444444445,KWH,Målt,Tidsserie
18/01/2023 10.00,0.0680555555555555,KWH,Målt,Tidsserie
18/01/2023 11.00,0.0576388888888889,KWH,Målt,Tidsserie
18/01/2023 12.00,0.100694444444444,KWH,Målt,Tidsserie
18/01/2023 13.00,01.12,KWH,Målt,Tidsserie
18/01/2023 14.00,0.0673611111111111,KWH,Målt,Tidsserie
18/01/2023 15.00,0.0652777777777778,KWH,Målt,Tidsserie
18/01/2023 16.00,01.04,KWH,Målt,Tidsserie
18/01/2023 17.00,01.16,KWH,Målt,Tidsserie
18/01/2023 18.00,02.01,KWH,Målt,Tidsserie
18/01/2023 19.00,01.31,KWH,Målt,Tidsserie
18/01/2023 20.00,0.0569444444444444,KWH,Målt,Tidsserie
18/01/2023 21.00,01.35,KWH,Målt,Tidsserie
18/01/2023 22.00,01.49,KWH,Målt,Tidsserie
18/01/2023 23.00,01.03,KWH,Målt,Tidsserie
19/01/2023 00.00,0.0472222222222222,KWH,Målt,Tidsserie
19/01/2023 01.00,00.43,KWH,Målt,Tidsserie
19/01/2023 02.00,00.53,KWH,Målt,Tidsserie
19/01/2023 03.00,00.52,KWH,Målt,Tidsserie
19/01/2023 04.00,00.55,KWH,Målt,Tidsserie
19/01/2023 05.00,00.44,KWH,Målt,Tidsserie
19/01/2023 06.00,0.0534722222222222,KWH,Målt,Tidsserie
19/01/2023 07.00,01.15,KWH,Målt,Tidsserie
19/01/2023 08.00,0.10625,KWH,Målt,Tidsserie
19/01/2023 09.00,0.139583333333333,KWH,Målt,Tidsserie
19/01/2023 10.00,01.09,KWH,Målt,Tidsserie
19/01/2023 11.00,0.0479166666666667,KWH,Målt,Tidsserie
